email, username,major,country,course,topic
Ekaterina@uq.net.au,Ekaterina  ,IT,China,"INFS3200,DECO2500,INFS2200","Dance,Fitness"
Luc@uq.net.au,Luc  ,IT,China,"COMS3200,CSSE2002,COMP3506","Game,Sport,Music,Study"
Joal@uq.net.au,Joal  ,IT,China,"CSSE3003,DECO2500,CSSE2002,COMP3506","Fitness,Sport,Culture,Dance,Study"
Cdric@uq.net.au,Cdric  ,IT,China,"INFS3200,DECO1800",Game
Didier@uq.net.au,Didier  ,IT,China,"CSSE2002,COMP3506,INFS2200","Music,Game,Fitness,Study,Sport"
Bertrand@uq.net.au,Bertrand  ,DS,China,"COMP3702,INFS1200,CSSE3003,CSSE1001","Sport,Dance,Culture,News"
Guillaume@uq.net.au,Guillaume  ,DS,China,"COMS3200,INFS2200","Dance,Music,News,Culture"
Olivier@uq.net.au,Olivier  ,DS,China,"DECO2500,COMP3506","Dance,Music"
Michal@uq.net.au,Michal  ,DS,China,"COMP3506,CSSE1001,CSSE3003,DECO2500","Fitness,Study,Game,Music"
Jrme@uq.net.au,Jrme  ,DS,China,"INFS3200,CSSE2002,DECO1400",Music
Daouda@uq.net.au,Daouda  ,ID,China,"DECO1800,DECO1400,COMS3200",Game
Nikola@uq.net.au,Nikola  ,ID,China,"COMP3702,CSSE1001,CSSE3003,DECO2500",Study
Christophe@uq.net.au,Christophe,ID,China,"COMP3702,INFS2200",Game
Daniel@uq.net.au,Daniel,ID,China,"CSSE3003,CSSE2002,INFS1200,DECO1800","Fitness,Music,News,Dance"
Thierry@uq.net.au,Thierry,ID,China,"CSSE1001,INFS2200","Study,Culture,News"
Cendy@uq.net.au,Cendy,CS,China,"DECO1800,DECO2500,CSSE3003,COMS3200","Game,News"
Vctor@uq.net.au,Vctor  ,CS,China,"DECO1800,CSSE1001,CSSE3003","Dance,Music"
Noah@uq.net.au,Noah  ,CS,China,"DECO1400,COMS3200","Music,Study,Fitness,Culture"
Jon@uq.net.au,Jon  ,CS,China,"DECO2500,COMS3200","Study,Game"
David@uq.net.au,David  ,CS,China,"CSSE1001,INFS2200,INFS1200",Game
Joss@uq.net.au,Joss,IT,Australia,"INFS3200,DECO2500,INFS2200","Dance,Fitness"
Rubin@uq.net.au,Rubin  ,IT,Australia,"COMS3200,CSSE2002,COMP3506","Game,Sport,Music,Study"
Juannan@uq.net.au,Juannan  ,IT,Australia,"CSSE3003,DECO2500,CSSE2002,COMP3506","Fitness,Sport,Culture,Dance,Study"
Alberto@uq.net.au,Alberto  ,IT,Australia,"INFS3200,DECO1800",Game
Raylo@uq.net.au,Raylo,IT,Australia,"CSSE2002,COMP3506,INFS2200","Music,Game,Fitness,Study,Sport"
Carlo@uq.net.au,Carlo,DS,Australia,"COMP3702,INFS1200,CSSE3003,CSSE1001","Sport,Dance,Culture,News"
Albert@uq.net.au,Albert  ,DS,Australia,"COMS3200,INFS2200","Dance,Music,News,Culture"
Iker@uq.net.au,Iker  ,DS,Australia,"DECO2500,COMP3506","Dance,Music"
Cristian@uq.net.au,Cristian  ,DS,Australia,"COMP3506,CSSE1001,CSSE3003,DECO2500","Fitness,Study,Game,Music"
Demetrio@uq.net.au,Demetrio  ,DS,Australia,"INFS3200,CSSE2002,DECO1400",Music
Katrine@uq.net.au,Katrine  ,ID,Australia,"DECO1800,DECO1400,COMS3200",Game
Kristine@uq.net.au,Kristine  ,ID,Australia,"COMP3702,CSSE1001,CSSE3003,DECO2500",Study
Tom@uq.net.au,Tom,ID,Australia,"COMP3702,INFS2200",Game
Gro@uq.net.au,Gro  ,ID,Australia,"CSSE3003,CSSE2002,INFS1200,DECO1800","Fitness,Music,News,Dance"
Marit@uq.net.au,Marit  ,ID,Australia,"CSSE1001,INFS2200","Study,Culture,News"
Tonje@uq.net.au,Tonje  ,CS,Australia,"DECO1800,DECO2500,CSSE3003,COMS3200","Game,News"
Katarina@uq.net.au,Katarina  ,CS,Australia,"DECO1800,CSSE1001,CSSE3003","Dance,Music"
Kari@uq.net.au,Kari  ,CS,Australia,"DECO1400,COMS3200","Music,Study,Fitness,Culture"
Lin@uq.net.au,Lin,CS,Australia,"DECO2500,COMS3200","Study,Game"
Karoline@uq.net.au,Karoline  ,CS,Australia,"CSSE1001,INFS2200,INFS1200",Game
